      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
3.673e+06,7.720e-1,-1.807e+0,-7.691e-3,1.528e-2,8.456e-2,3.613e-2,-1.538e-4,3.057e-4,5.855e-6,-1.807e-1,5.878e-4,-3.123e+0,5.855e-6,0.000e+3,6.924e-4,-2.137e+1,-8.692e-3,-5.427e-4,-2.320e-4,3.714e-3
3.878e+06,6.966e-1,-1.731e+0,-6.229e-3,1.318e-2,8.607e-2,3.463e-2,-1.246e-4,2.636e-4,4.249e-6,-1.731e-1,4.264e-4,-2.956e+0,4.249e-6,-2.118e-22,4.937e-4,-2.012e+1,-7.797e-3,-4.608e-4,-1.855e-4,3.137e-3
4.082e+06,6.315e-1,-1.661e+0,-5.097e-3,1.143e-2,8.737e-2,3.322e-2,-1.019e-4,2.287e-4,3.134e-6,-1.661e-1,3.144e-4,-2.806e+0,3.134e-6,2.118e-22,3.587e-4,-1.901e+1,-7.034e-3,-3.946e-4,-1.501e-4,2.674e-3
4.286e+06,5.750e-1,-1.595e+0,-4.210e-3,9.977e-3,8.850e-2,3.190e-2,-8.420e-5,1.995e-4,2.345e-6,-1.595e-1,2.352e-4,-2.670e+0,2.345e-6,0.000e+3,2.650e-4,-1.802e+1,-6.378e-3,-3.405e-4,-1.228e-4,2.299e-3
4.49e+06,5.256e-1,-1.534e+0,-3.507e-3,8.753e-3,8.949e-2,3.067e-2,-7.015e-5,1.751e-4,1.778e-6,-1.534e-1,1.783e-4,-2.547e+0,1.778e-6,0.000e+3,1.987e-4,-1.714e+1,-5.809e-3,-2.959e-4,-1.014e-4,1.991e-3
4.694e+06,4.823e-1,-1.476e+0,-2.945e-3,7.719e-3,9.035e-2,2.952e-2,-5.890e-5,1.544e-4,1.365e-6,-1.476e-1,1.368e-4,-2.435e+0,1.365e-6,0.000e+3,1.511e-4,-1.634e+1,-5.314e-3,-2.588e-4,-8.456e-5,1.736e-3
4.898e+06,4.441e-1,-1.422e+0,-2.490e-3,6.839e-3,9.112e-2,2.845e-2,-4.981e-5,1.368e-4,1.059e-6,-1.422e-1,1.062e-4,-2.333e+0,1.059e-6,-5.294e-23,1.163e-4,-1.561e+1,-4.879e-3,-2.276e-4,-7.107e-5,1.523e-3
5.102e+06,4.102e-1,-1.372e+0,-2.120e-3,6.086e-3,9.180e-2,2.744e-2,-4.240e-5,1.217e-4,8.306e-7,-1.372e-1,8.323e-5,-2.238e+0,8.306e-7,0.000e+3,9.049e-5,-1.495e+1,-4.495e-3,-2.012e-4,-6.017e-5,1.344e-3
5.306e+06,3.800e-1,-1.325e+0,-1.816e-3,5.438e-3,9.240e-2,2.650e-2,-3.632e-5,1.088e-4,6.574e-7,-1.325e-1,6.586e-5,-2.152e+0,6.574e-7,-2.647e-23,7.115e-5,-1.434e+1,-4.156e-3,-1.788e-4,-5.129e-5,1.192e-3
5.51e+06,3.530e-1,-1.281e+0,-1.564e-3,4.878e-3,9.294e-2,2.562e-2,-3.129e-5,9.756e-5,5.249e-7,-1.281e-1,5.258e-5,-2.071e+0,5.249e-7,-2.647e-23,5.647e-5,-1.378e+1,-3.853e-3,-1.596e-4,-4.399e-5,1.062e-3
5.714e+06,3.288e-1,-1.239e+0,-1.355e-3,4.392e-3,9.342e-2,2.478e-2,-2.710e-5,8.784e-5,4.225e-7,-1.239e-1,4.231e-5,-1.997e+0,4.225e-7,0.000e+3,4.522e-5,-1.326e+1,-3.582e-3,-1.430e-4,-3.795e-5,9.502e-4
5.918e+06,3.069e-1,-1.200e+0,-1.179e-3,3.967e-3,9.386e-2,2.400e-2,-2.358e-5,7.935e-5,3.426e-7,-1.200e-1,3.431e-5,-1.927e+0,3.426e-7,-1.323e-23,3.650e-5,-1.279e+1,-3.339e-3,-1.287e-4,-3.291e-5,8.538e-4
6.122e+06,2.872e-1,-1.163e+0,-1.031e-3,3.596e-3,9.426e-2,2.327e-2,-2.062e-5,7.191e-5,2.798e-7,-1.163e-1,2.802e-5,-1.863e+0,2.798e-7,0.000e+3,2.969e-5,-1.234e+1,-3.119e-3,-1.162e-4,-2.869e-5,7.700e-4
6.327e+06,2.692e-1,-1.129e+0,-9.053e-4,3.268e-3,9.462e-2,2.257e-2,-1.811e-5,6.537e-5,2.300e-7,-1.129e-1,2.303e-5,-1.802e+0,2.300e-7,6.617e-24,2.431e-5,-1.193e+1,-2.921e-3,-1.053e-4,-2.512e-5,6.969e-4
6.531e+06,2.529e-1,-1.096e+0,-7.982e-4,2.979e-3,9.494e-2,2.192e-2,-1.596e-5,5.959e-5,1.903e-7,-1.096e-1,1.905e-5,-1.746e+0,1.903e-7,0.000e+3,2.004e-5,-1.154e+1,-2.741e-3,-9.570e-5,-2.209e-5,6.327e-4
6.735e+06,2.381e-1,-1.065e+0,-7.064e-4,2.723e-3,9.524e-2,2.129e-2,-1.413e-5,5.447e-5,1.583e-7,-1.065e-1,1.585e-5,-1.692e+0,1.583e-7,6.617e-24,1.662e-5,-1.118e+1,-2.577e-3,-8.723e-5,-1.951e-5,5.763e-4
6.939e+06,2.245e-1,-1.035e+0,-6.275e-4,2.496e-3,9.551e-2,2.071e-2,-1.255e-5,4.991e-5,1.324e-7,-1.035e-1,1.326e-5,-1.642e+0,1.324e-7,0.000e+3,1.387e-5,-1.084e+1,-2.428e-3,-7.974e-5,-1.729e-5,5.263e-4
7.143e+06,2.120e-1,-1.007e+0,-5.592e-4,2.292e-3,9.576e-2,2.015e-2,-1.118e-5,4.585e-5,1.114e-7,-1.007e-1,1.115e-5,-1.595e+0,1.114e-7,0.000e+3,1.163e-5,-1.052e+1,-2.291e-3,-7.309e-5,-1.538e-5,4.820e-4
7.347e+06,2.005e-1,-9.810e-1,-5.000e-4,2.111e-3,9.599e-2,1.962e-2,-1.000e-5,4.221e-5,9.409e-8,-9.810e-2,9.418e-6,-1.551e+0,9.409e-8,0.000e+3,9.802e-6,-1.022e+1,-2.165e-3,-6.715e-5,-1.373e-5,4.426e-4
7.551e+06,1.900e-1,-9.559e-1,-4.484e-4,1.947e-3,9.620e-2,1.912e-2,-8.969e-6,3.895e-5,7.987e-8,-9.559e-2,7.994e-6,-1.509e+0,7.987e-8,0.000e+3,8.302e-6,-9.936e+0,-2.050e-3,-6.184e-5,-1.229e-5,4.073e-4
7.755e+06,1.802e-1,-9.319e-1,-4.033e-4,1.800e-3,9.640e-2,1.864e-2,-8.066e-6,3.601e-5,6.809e-8,-9.319e-2,6.815e-6,-1.469e+0,6.809e-8,0.000e+3,7.063e-6,-9.668e+0,-1.943e-3,-5.708e-5,-1.104e-5,3.757e-4
7.959e+06,1.712e-1,-9.092e-1,-3.637e-4,1.668e-3,9.658e-2,1.818e-2,-7.275e-6,3.336e-5,5.829e-8,-9.092e-2,5.833e-6,-1.431e+0,5.829e-8,-1.654e-24,6.035e-6,-9.414e+0,-1.845e-3,-5.279e-5,-9.939e-6,3.473e-4
8.163e+06,1.628e-1,-8.874e-1,-3.289e-4,1.548e-3,9.674e-2,1.775e-2,-6.578e-6,3.096e-5,5.009e-8,-8.874e-2,5.013e-6,-1.395e+0,5.009e-8,0.000e+3,5.178e-6,-9.173e+0,-1.753e-3,-4.892e-5,-8.975e-6,3.217e-4
8.367e+06,1.550e-1,-8.667e-1,-2.981e-4,1.439e-3,9.690e-2,1.733e-2,-5.962e-6,2.879e-5,4.321e-8,-8.667e-2,4.324e-6,-1.361e+0,4.321e-8,0.000e+3,4.459e-6,-8.944e+0,-1.669e-3,-4.542e-5,-8.125e-6,2.985e-4
8.571e+06,1.478e-1,-8.469e-1,-2.708e-4,1.340e-3,9.704e-2,1.694e-2,-5.417e-6,2.681e-5,3.740e-8,-8.469e-2,3.743e-6,-1.328e+0,3.740e-8,0.000e+3,3.854e-6,-8.727e+0,-1.590e-3,-4.225e-5,-7.374e-6,2.775e-4
8.776e+06,1.411e-1,-8.279e-1,-2.466e-4,1.250e-3,9.718e-2,1.656e-2,-4.932e-6,2.501e-5,3.249e-8,-8.279e-2,3.251e-6,-1.297e+0,3.249e-8,0.000e+3,3.343e-6,-8.520e+0,-1.517e-3,-3.937e-5,-6.708e-6,2.585e-4
8.98e+06,1.348e-1,-8.098e-1,-2.250e-4,1.168e-3,9.730e-2,1.620e-2,-4.501e-6,2.337e-5,2.831e-8,-8.098e-2,2.833e-6,-1.268e+0,2.831e-8,-8.272e-25,2.910e-6,-8.322e+0,-1.449e-3,-3.674e-5,-6.115e-6,2.412e-4
9.184e+06,1.289e-1,-7.924e-1,-2.058e-4,1.093e-3,9.742e-2,1.585e-2,-4.115e-6,2.186e-5,2.475e-8,-7.924e-2,2.476e-6,-1.240e+0,2.475e-8,0.000e+3,2.540e-6,-8.134e+0,-1.385e-3,-3.434e-5,-5.586e-6,2.253e-4
9.388e+06,1.234e-1,-7.758e-1,-1.885e-4,1.024e-3,9.753e-2,1.552e-2,-3.770e-6,2.049e-5,2.170e-8,-7.758e-2,2.171e-6,-1.213e+0,2.170e-8,0.000e+3,2.224e-6,-7.954e+0,-1.325e-3,-3.214e-5,-5.114e-6,2.109e-4
9.592e+06,1.183e-1,-7.598e-1,-1.730e-4,9.611e-4,9.763e-2,1.520e-2,-3.461e-6,1.922e-5,1.907e-8,-7.598e-2,1.908e-6,-1.187e+0,1.907e-8,0.000e+3,1.954e-6,-7.782e+0,-1.270e-3,-3.013e-5,-4.690e-6,1.976e-4
9.796e+06,1.134e-1,-7.444e-1,-1.591e-4,9.030e-4,9.773e-2,1.489e-2,-3.182e-6,1.806e-5,1.681e-8,-7.444e-2,1.682e-6,-1.162e+0,1.681e-8,4.136e-25,1.720e-6,-7.617e+0,-1.217e-3,-2.829e-5,-4.309e-6,1.854e-4
1e+07,1.089e-1,-7.297e-1,-1.466e-4,8.494e-4,9.782e-2,1.459e-2,-2.931e-6,1.699e-5,1.486e-8,-7.297e-2,1.487e-6,-1.138e+0,1.486e-8,-4.136e-25,1.519e-6,-7.459e+0,-1.168e-3,-2.659e-5,-3.967e-6,1.743e-4
