      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
 3.469e+06,  2.306e-02, -3.388e-01,  2.642e-06, -1.932e-05,  9.954e-02,  6.776e-03,  5.284e-08, -3.863e-07,  7.602e-12, -3.388e-02,  7.638e-10, -3.404e+00,  7.602e-12,  0.000e+00,  7.638e-10, -3.404e+00,  5.728e-05,  3.899e-06,  2.654e-07, -3.899e-06
 3.673e+06,  2.054e-02, -3.198e-01,  1.869e-06, -1.449e-05,  9.959e-02,  6.396e-03,  3.738e-08, -2.898e-07,  4.268e-12, -3.198e-02,  4.286e-10, -3.211e+00,  4.268e-12, -1.010e-28,  4.286e-10, -3.211e+00,  4.549e-05,  2.922e-06,  1.877e-07, -2.922e-06
 3.878e+06,  1.841e-02, -3.029e-01,  1.347e-06, -1.104e-05,  9.963e-02,  6.057e-03,  2.695e-08, -2.208e-07,  2.474e-12, -3.029e-02,  2.483e-10, -3.040e+00,  2.474e-12,  0.000e+00,  2.483e-10, -3.040e+00,  3.659e-05,  2.224e-06,  1.352e-07, -2.224e-06
 4.082e+06,  1.660e-02, -2.876e-01,  9.880e-07, -8.531e-06,  9.967e-02,  5.752e-03,  1.976e-08, -1.706e-07,  1.475e-12, -2.876e-02,  1.480e-10, -2.886e+00,  1.475e-12, -2.524e-29,  1.480e-10, -2.886e+00,  2.976e-05,  1.718e-06,  9.913e-08, -1.718e-06
 4.286e+06,  1.504e-02, -2.738e-01,  7.358e-07, -6.677e-06,  9.970e-02,  5.477e-03,  1.472e-08, -1.335e-07,  9.024e-13, -2.738e-02,  9.051e-11, -2.747e+00,  9.024e-13, -2.524e-29,  9.051e-11, -2.747e+00,  2.446e-05,  1.343e-06,  7.380e-08, -1.343e-06
 4.490e+06,  1.370e-02, -2.613e-01,  5.556e-07, -5.286e-06,  9.973e-02,  5.227e-03,  1.111e-08, -1.057e-07,  5.650e-13, -2.613e-02,  5.665e-11, -2.620e+00,  5.650e-13,  1.262e-29,  5.665e-11, -2.620e+00,  2.028e-05,  1.063e-06,  5.571e-08, -1.063e-06
 4.694e+06,  1.252e-02, -2.499e-01,  4.249e-07, -4.229e-06,  9.975e-02,  4.998e-03,  8.497e-09, -8.458e-08,  3.613e-13, -2.499e-02,  3.622e-11, -2.505e+00,  3.613e-13,  0.000e+00,  3.622e-11, -2.505e+00,  1.696e-05,  8.500e-07,  4.259e-08, -8.500e-07
 4.898e+06,  1.149e-02, -2.394e-01,  3.287e-07, -3.416e-06,  9.977e-02,  4.789e-03,  6.573e-09, -6.831e-08,  2.355e-13, -2.394e-02,  2.360e-11, -2.400e+00,  2.355e-13,  3.155e-30,  2.360e-11, -2.400e+00,  1.430e-05,  6.863e-07,  3.294e-08, -6.863e-07
 5.102e+06,  1.059e-02, -2.298e-01,  2.570e-07, -2.783e-06,  9.979e-02,  4.597e-03,  5.139e-09, -5.566e-08,  1.562e-13, -2.298e-02,  1.566e-11, -2.303e+00,  1.562e-13,  0.000e+00,  1.566e-11, -2.303e+00,  1.214e-05,  5.590e-07,  2.575e-08, -5.590e-07
 5.306e+06,  9.784e-03, -2.210e-01,  2.029e-07, -2.286e-06,  9.980e-02,  4.419e-03,  4.057e-09, -4.573e-08,  1.054e-13, -2.210e-02,  1.056e-11, -2.214e+00,  1.054e-13,  0.000e+00,  1.056e-11, -2.214e+00,  1.037e-05,  4.590e-07,  2.033e-08, -4.590e-07
 5.510e+06,  9.069e-03, -2.127e-01,  1.616e-07, -1.892e-06,  9.982e-02,  4.255e-03,  3.232e-09, -3.784e-08,  7.212e-14, -2.127e-02,  7.225e-12, -2.131e+00,  7.212e-14, -1.578e-30,  7.225e-12, -2.131e+00,  8.910e-06,  3.798e-07,  1.619e-08, -3.798e-07
 5.714e+06,  8.429e-03, -2.051e-01,  1.298e-07, -1.577e-06,  9.983e-02,  4.102e-03,  2.596e-09, -3.154e-08,  5.006e-14, -2.051e-02,  5.015e-12, -2.055e+00,  5.006e-14,  0.000e+00,  5.015e-12, -2.055e+00,  7.700e-06,  3.164e-07,  1.300e-08, -3.164e-07
 5.918e+06,  7.855e-03, -1.980e-01,  1.051e-07, -1.322e-06,  9.984e-02,  3.961e-03,  2.102e-09, -2.645e-08,  3.520e-14, -1.980e-02,  3.526e-12, -1.983e+00,  3.520e-14,  0.000e+00,  3.526e-12, -1.983e+00,  6.689e-06,  2.653e-07,  1.053e-08, -2.653e-07
 6.122e+06,  7.338e-03, -1.914e-01,  8.569e-08, -1.116e-06,  9.985e-02,  3.828e-03,  1.714e-09, -2.232e-08,  2.505e-14, -1.914e-02,  2.509e-12, -1.917e+00,  2.505e-14,  3.944e-31,  2.509e-12, -1.917e+00,  5.838e-06,  2.238e-07,  8.581e-09, -2.238e-07
 6.327e+06,  6.871e-03, -1.852e-01,  7.034e-08, -9.468e-07,  9.986e-02,  3.704e-03,  1.407e-09, -1.894e-08,  1.803e-14, -1.852e-02,  1.805e-12, -1.855e+00,  1.803e-14,  0.000e+00,  1.805e-12, -1.855e+00,  5.119e-06,  1.899e-07,  7.044e-09, -1.899e-07
 6.531e+06,  6.446e-03, -1.794e-01,  5.811e-08, -8.076e-07,  9.987e-02,  3.588e-03,  1.162e-09, -1.615e-08,  1.311e-14, -1.794e-02,  1.313e-12, -1.796e+00,  1.311e-14,  1.972e-31,  1.313e-12, -1.796e+00,  4.507e-06,  1.619e-07,  5.818e-09, -1.619e-07
 6.735e+06,  6.060e-03, -1.740e-01,  4.829e-08, -6.922e-07,  9.988e-02,  3.479e-03,  9.657e-10, -1.384e-08,  9.630e-15, -1.740e-02,  9.641e-13, -1.742e+00,  9.630e-15,  2.958e-31,  9.641e-13, -1.742e+00,  3.984e-06,  1.388e-07,  4.834e-09, -1.388e-07
 6.939e+06,  5.708e-03, -1.688e-01,  4.035e-08, -5.961e-07,  9.989e-02,  3.377e-03,  8.070e-10, -1.192e-08,  7.139e-15, -1.688e-02,  7.147e-13, -1.690e+00,  7.139e-15,  0.000e+00,  7.147e-13, -1.690e+00,  3.534e-06,  1.195e-07,  4.039e-09, -1.195e-07
 7.143e+06,  5.385e-03, -1.640e-01,  3.389e-08, -5.155e-07,  9.989e-02,  3.280e-03,  6.778e-10, -1.031e-08,  5.338e-15, -1.640e-02,  5.344e-13, -1.642e+00,  5.338e-15, -9.861e-32,  5.344e-13, -1.642e+00,  3.147e-06,  1.033e-07,  3.393e-09, -1.033e-07
 7.347e+06,  5.089e-03, -1.594e-01,  2.861e-08, -4.477e-07,  9.990e-02,  3.189e-03,  5.722e-10, -8.954e-09,  4.025e-15, -1.594e-02,  4.029e-13, -1.596e+00,  4.025e-15,  0.000e+00,  4.029e-13, -1.596e+00,  2.811e-06,  8.972e-08,  2.864e-09, -8.972e-08
 7.551e+06,  4.817e-03, -1.551e-01,  2.426e-08, -3.903e-07,  9.990e-02,  3.102e-03,  4.853e-10, -7.806e-09,  3.058e-15, -1.551e-02,  3.061e-13, -1.553e+00,  3.059e-15, -2.465e-32,  3.061e-13, -1.553e+00,  2.519e-06,  7.821e-08,  2.429e-09, -7.821e-08
 7.755e+06,  4.566e-03, -1.510e-01,  2.067e-08, -3.415e-07,  9.991e-02,  3.021e-03,  4.134e-10, -6.830e-09,  2.341e-15, -1.510e-02,  2.343e-13, -1.512e+00,  2.341e-15,  2.465e-32,  2.343e-13, -1.512e+00,  2.263e-06,  6.843e-08,  2.069e-09, -6.843e-08
 7.959e+06,  4.335e-03, -1.472e-01,  1.768e-08, -2.999e-07,  9.991e-02,  2.943e-03,  3.536e-10, -5.997e-09,  1.805e-15, -1.472e-02,  1.806e-13, -1.473e+00,  1.805e-15,  2.465e-32,  1.806e-13, -1.473e+00,  2.040e-06,  6.008e-08,  1.770e-09, -6.008e-08
 8.163e+06,  4.120e-03, -1.435e-01,  1.519e-08, -2.642e-07,  9.992e-02,  2.869e-03,  3.037e-10, -5.283e-09,  1.400e-15, -1.435e-02,  1.402e-13, -1.436e+00,  1.400e-15,  0.000e+00,  1.402e-13, -1.436e+00,  1.843e-06,  5.292e-08,  1.520e-09, -5.292e-08
 8.367e+06,  3.921e-03, -1.400e-01,  1.309e-08, -2.335e-07,  9.992e-02,  2.799e-03,  2.618e-10, -4.669e-09,  1.093e-15, -1.400e-02,  1.094e-13, -1.401e+00,  1.093e-15,  0.000e+00,  1.094e-13, -1.401e+00,  1.669e-06,  4.676e-08,  1.310e-09, -4.676e-08
 8.571e+06,  3.736e-03, -1.366e-01,  1.133e-08, -2.069e-07,  9.993e-02,  2.733e-03,  2.265e-10, -4.139e-09,  8.590e-16, -1.366e-02,  8.596e-14, -1.367e+00,  8.590e-16,  0.000e+00,  8.596e-14, -1.367e+00,  1.516e-06,  4.145e-08,  1.133e-09, -4.145e-08
 8.776e+06,  3.564e-03, -1.334e-01,  9.832e-09, -1.839e-07,  9.993e-02,  2.669e-03,  1.966e-10, -3.679e-09,  6.785e-16, -1.334e-02,  6.790e-14, -1.335e+00,  6.786e-16,  0.000e+00,  6.790e-14, -1.335e+00,  1.379e-06,  3.684e-08,  9.839e-10, -3.684e-08
 8.980e+06,  3.404e-03, -1.304e-01,  8.564e-09, -1.639e-07,  9.993e-02,  2.608e-03,  1.713e-10, -3.279e-09,  5.390e-16, -1.304e-02,  5.393e-14, -1.305e+00,  5.390e-16,  6.163e-33,  5.393e-14, -1.305e+00,  1.258e-06,  3.283e-08,  8.569e-10, -3.283e-08
 9.184e+06,  3.254e-03, -1.275e-01,  7.482e-09, -1.465e-07,  9.993e-02,  2.550e-03,  1.496e-10, -2.930e-09,  4.305e-16, -1.275e-02,  4.307e-14, -1.276e+00,  4.304e-16,  6.163e-33,  4.307e-14, -1.276e+00,  1.150e-06,  2.934e-08,  7.487e-10, -2.934e-08
 9.388e+06,  3.114e-03, -1.247e-01,  6.556e-09, -1.312e-07,  9.994e-02,  2.495e-03,  1.311e-10, -2.625e-09,  3.453e-16, -1.247e-02,  3.455e-14, -1.248e+00,  3.454e-16, -3.081e-33,  3.455e-14, -1.248e+00,  1.053e-06,  2.628e-08,  6.560e-10, -2.628e-08
 9.592e+06,  2.982e-03, -1.221e-01,  5.762e-09, -1.179e-07,  9.994e-02,  2.441e-03,  1.152e-10, -2.357e-09,  2.785e-16, -1.221e-02,  2.786e-14, -1.221e+00,  2.784e-16, -1.541e-33,  2.786e-14, -1.221e+00,  9.660e-07,  2.360e-08,  5.765e-10, -2.360e-08
 9.796e+06,  2.859e-03, -1.195e-01,  5.077e-09, -1.061e-07,  9.994e-02,  2.391e-03,  1.015e-10, -2.121e-09,  2.255e-16, -1.195e-02,  2.256e-14, -1.196e+00,  2.255e-16, -1.541e-33,  2.256e-14, -1.196e+00,  8.879e-07,  2.124e-08,  5.080e-10, -2.124e-08
 1.000e+07,  2.743e-03, -1.171e-01,  4.486e-09, -9.567e-08,  9.995e-02,  2.342e-03,  8.971e-11, -1.913e-09,  1.834e-16, -1.171e-02,  1.836e-14, -1.172e+00,  1.835e-16,  1.541e-33,  1.836e-14, -1.172e+00,  8.175e-07,  1.915e-08,  4.488e-10, -1.915e-08
