      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
 3.469e+06,  3.387e+00, -1.396e-01,  1.611e-01, -4.189e-01,  3.226e-02,  2.792e-03,  3.223e-03, -8.377e-03,  1.089e-01, -1.396e-02,  1.375e+00, -1.429e+01,  4.028e-03,  2.168e-19,  1.038e+02, -1.332e+01,  5.258e-02, -1.215e-01,  7.684e-02, -2.663e-01
 3.673e+06,  3.382e+00, -1.337e-01,  1.458e-01, -4.012e-01,  3.236e-02,  2.675e-03,  2.915e-03, -8.024e-03,  1.091e-01, -1.337e-02,  1.227e+00, -1.351e+01,  3.644e-03,  0.000e+00,  1.035e+02, -1.268e+01,  4.772e-02, -1.167e-01,  6.912e-02, -2.537e-01
 3.878e+06,  3.377e+00, -1.282e-01,  1.324e-01, -3.847e-01,  3.245e-02,  2.564e-03,  2.648e-03, -7.693e-03,  1.093e-01, -1.282e-02,  1.102e+00, -1.281e+01,  3.310e-03, -2.168e-19,  1.031e+02, -1.210e+01,  4.346e-02, -1.122e-01,  6.248e-02, -2.420e-01
 4.082e+06,  3.374e+00, -1.231e-01,  1.207e-01, -3.693e-01,  3.253e-02,  2.462e-03,  2.415e-03, -7.385e-03,  1.094e-01, -1.231e-02,  9.957e-01, -1.218e+01,  3.018e-03,  3.253e-19,  1.028e+02, -1.157e+01,  3.973e-02, -1.080e-01,  5.673e-02, -2.313e-01
 4.286e+06,  3.370e+00, -1.183e-01,  1.105e-01, -3.549e-01,  3.260e-02,  2.366e-03,  2.210e-03, -7.097e-03,  1.096e-01, -1.183e-02,  9.037e-01, -1.161e+01,  2.763e-03, -2.168e-19,  1.026e+02, -1.107e+01,  3.644e-02, -1.040e-01,  5.173e-02, -2.215e-01
 4.490e+06,  3.367e+00, -1.138e-01,  1.015e-01, -3.414e-01,  3.266e-02,  2.276e-03,  2.030e-03, -6.828e-03,  1.097e-01, -1.138e-02,  8.239e-01, -1.109e+01,  2.537e-03,  1.084e-19,  1.024e+02, -1.062e+01,  3.353e-02, -1.003e-01,  4.735e-02, -2.124e-01
 4.694e+06,  3.364e+00, -1.096e-01,  9.350e-02, -3.288e-01,  3.271e-02,  2.192e-03,  1.870e-03, -6.577e-03,  1.098e-01, -1.096e-02,  7.541e-01, -1.061e+01,  2.337e-03,  2.168e-19,  1.022e+02, -1.020e+01,  3.094e-02, -9.673e-02,  4.350e-02, -2.040e-01
 4.898e+06,  3.362e+00, -1.057e-01,  8.640e-02, -3.171e-01,  3.276e-02,  2.114e-03,  1.728e-03, -6.341e-03,  1.099e-01, -1.057e-02,  6.929e-01, -1.017e+01,  2.160e-03,  2.168e-19,  1.020e+02, -9.809e+00,  2.863e-02, -9.341e-02,  4.009e-02, -1.962e-01
 5.102e+06,  3.360e+00, -1.020e-01,  8.006e-02, -3.060e-01,  3.280e-02,  2.040e-03,  1.601e-03, -6.121e-03,  1.100e-01, -1.020e-02,  6.388e-01, -9.768e+00,  2.001e-03, -1.084e-19,  1.019e+02, -9.446e+00,  2.657e-02, -9.028e-02,  3.706e-02, -1.889e-01
 5.306e+06,  3.358e+00, -9.857e-02,  7.438e-02, -2.957e-01,  3.284e-02,  1.971e-03,  1.488e-03, -5.914e-03,  1.101e-01, -9.857e-03,  5.908e-01, -9.395e+00,  1.859e-03, -1.084e-19,  1.017e+02, -9.108e+00,  2.471e-02, -8.733e-02,  3.436e-02, -1.822e-01
 5.510e+06,  3.356e+00, -9.533e-02,  6.927e-02, -2.860e-01,  3.287e-02,  1.907e-03,  1.385e-03, -5.720e-03,  1.101e-01, -9.533e-03,  5.480e-01, -9.050e+00,  1.732e-03,  0.000e+00,  1.016e+02, -8.793e+00,  2.304e-02, -8.455e-02,  3.195e-02, -1.759e-01
 5.714e+06,  3.355e+00, -9.228e-02,  6.466e-02, -2.768e-01,  3.290e-02,  1.846e-03,  1.293e-03, -5.537e-03,  1.102e-01, -9.228e-03,  5.097e-01, -8.729e+00,  1.617e-03,  1.084e-19,  1.015e+02, -8.498e+00,  2.153e-02, -8.193e-02,  2.977e-02, -1.700e-01
